,road,idx,lrp,lat,lon
155092,R860,176,LRP047c,23.1984163,90.5110278
155094,R870,176,LRP060,22.5401941,89.9882497
155097,R890,176,LRP098,22.0270549,90.6573056
155264,Z1811,176,LRP118b,21.626499300000003,92.3070278
155320,Z2834,176,LRP152a,25.2403052,90.03255490000001
155406,Z5002,176,LRP073,25.857083300000003,88.5957219
155660,Z7710,176,LRP031,22.7738882,90.0013056
155679,Z8033,176,LRP049a,22.5914163,90.0921663
155740,Z8708,176,LRP050,22.2316382,90.01811040000001
155749,Z8806,176,LRP077,22.1684716,90.3424163
155760,N1,177,LRP078,23.4815549,91.06136109999998
155762,N102,177,LRP063a,23.894638600000004,91.1300827
155766,N106,177,LRP051,22.6078611,92.0956386
155782,N2,177,LRP068,24.0569167,90.9513889
155788,N208,177,LRP058,24.8694993,91.8760271
155794,N3,177,LRP076,24.4445274,90.383333
155798,N4,177,LRP071c,24.3323604,89.92491600000001
155807,N5,177,LRP059b,23.8514167,89.9353608
155816,N509,177,LRP092c,26.341333,89.02405490000001
155828,N6,177,LRP094,24.3718882,89.04727740000001
155833,N7,177,LRP070,23.522166,89.4762493
155848,N8,177,LRP072,23.36175,89.9990552
155853,N805,177,LRP058b,23.0700827,89.76602779999999
155863,R140,177,LRP076,23.1668604,90.7163889
155873,R160,177,LRP071b,23.0375552,91.8721104
155874,R161,177,LRP061b,22.2121667,92.2110278
155878,R170,177,LRP052,21.9396386,91.9591667
155884,R203,177,LRP061a,23.8694716,91.0075556
155896,R250,177,LRP078,24.8793882,92.4722771
155899,R281,177,LRP062,24.787833,92.1722771
155913,R360,177,LRP065a,24.4293049,90.7480274
155915,R370,177,LRP074c,24.8964719,91.0118333
155926,R545,177,LRP070,24.9113611,88.7533056
155928,R547,177,LRP080a,24.9211938,88.4771938
155938,R585,177,LRP077,25.5128611,88.8720827
155955,R745,177,LRP078a,23.6651111,88.82547159999999
155977,R860,177,LRP047d,23.1979441,90.5158889
155979,R870,177,LRP060a,22.540833,89.9879719
155982,R890,177,LRP098a,22.0271938,90.65675
156149,Z1811,177,LRP118c,21.6254438,92.3061944
156205,Z2834,177,LRP152b,25.242110800000003,90.02591600000001
156291,Z5002,177,LRP073a,25.8568889,88.5993052
156545,Z7710,177,LRP031a,22.7734716,90.00111109999999
156564,Z8033,177,LRP049b,22.5907219,90.092333
156625,Z8708,177,LRP050a,22.2309438,90.01819379999999
156634,Z8806,177,LRP077a,22.1679993,90.3418608
156645,N1,178,LRP079,23.4801104,91.0706382
156647,N102,178,LRP063b,23.894833,91.1299993
156651,N106,178,LRP051a,22.6088889,92.0964719
156667,N2,178,LRP068a,24.0569167,90.9534167
156673,N208,178,LRPE,24.8775549,91.8753604
156679,N3,178,LRP076a,24.4455552,90.38322159999998
156683,N4,178,LRP071d,24.3179993,89.92472159999998
156692,N5,178,LRP059c,23.8517222,89.9340274
156701,N509,178,LRP092d,26.3414719,89.02416600000001
156713,N6,178,LRP094a,24.3792493,89.04197190000001
156718,N7,178,LRP070a,23.5217771,89.47455490000002
156733,N8,178,LRP072a,23.3604444,90.0000833
156738,N805,178,LRP059,23.0680271,89.7665
156748,R140,178,LRP077,23.1599167,90.7222771
156758,R160,178,LRP071c,23.0399997,91.8729438
156759,R161,178,LRP062,22.2093889,92.2116944
156763,R170,178,LRP052a,21.9386108,91.9595556
156769,R203,178,LRP061b,23.8693327,91.0079444
156781,R250,178,LRP078a,24.8792493,92.4693327
156784,R281,178,LRP062a,24.789944100000003,92.1718882
156798,R360,178,LRP065b,24.4266382,90.7478052
156800,R370,178,LRP074d,24.8969441,91.0115
156811,R545,178,LRP070a,24.9172493,88.7517222
156813,R547,178,LRP080b,24.921221600000003,88.4763604
156823,R585,178,LRP077a,25.51275,88.8690271
156840,R745,178,LRP078b,23.6623889,88.82816600000001
156862,R860,178,LRP048,23.1973608,90.5188049
156864,R870,178,LRP060b,22.5464441,89.9836108
156867,R890,178,LRP098b,22.0272216,90.6565833
157034,Z1811,178,LRP118d,21.6246938,92.3059444
157090,Z2834,178,LRP152c,25.242138600000004,90.02572159999998
157176,Z5002,178,LRP074,25.8568056,88.6057778
157430,Z7710,178,LRP031b,22.7714438,89.9996663
157449,Z8033,178,LRP049c,22.5883052,90.0936941
157510,Z8708,178,LRP050b,22.2308327,90.01822159999999
157519,Z8806,178,LRP077b,22.1664722,90.340833
157530,N1,179,LRP079a,23.4770827,91.0789993
157532,N102,179,LRP064,25.9009444,91.1274993
157536,N106,179,LRP051b,22.6094444,92.0973886
157552,N2,179,LRP068b,24.057,90.9559722
157564,N3,179,LRP076b,24.447833,90.3829438
157568,N4,179,LRP072,24.3369719,89.9248604
157577,N5,179,LRP060,23.8528889,89.9291104
157586,N509,179,LRP092e,26.344333,89.0219438
157598,N6,179,LRP095,24.3793882,89.0419163
157603,N7,179,LRP070b,23.5199716,89.4703327
157618,N8,179,LRP072b,23.35475,89.999833
157623,N805,179,LRP059a,23.0668327,89.7664444
157633,R140,179,LRP077a,23.1578333,90.7231938
157643,R160,179,LRP071d,23.0420274,91.8734993
157644,R161,179,LRP062a,22.2087222,92.2119722
157648,R170,179,LRP052b,21.9384441,91.9595833
157654,R203,179,LRP062,23.8683882,91.0127222
157666,R250,179,LRP078b,24.8790271,92.4634444
157669,R281,179,LRP062b,24.7889719,92.1714716
157683,R360,179,LRP065c,24.4229993,90.7475552
157685,R370,179,LRP074e,24.898083,91.0115
157696,R545,179,LRP071,24.9200827,88.75102779999999
157698,R547,179,LRP081,24.9192216,88.475666
157708,R585,179,LRP077b,25.5125278,88.8624167
157725,R745,179,LRP079,23.6586944,88.83180490000001
157747,R860,179,LRP048a,23.1967219,90.5218882
157749,R870,179,LRP061,22.5473052,89.9826382
157752,R890,179,LRP099,22.0285271,90.6481941
157919,Z1811,179,LRP118e,21.6218604,92.3086111
157975,Z2834,179,LRP153,25.2421663,90.0239438
158061,Z5002,179,LRP074a,25.8571111,88.61272220000001
158315,Z7710,179,LRP031c,22.7689716,89.99802740000001
158334,Z8033,179,LRP050,22.583638600000004,90.0932219
158395,Z8708,179,LRP050c,22.227916,90.0172493
158404,Z8806,179,LRP077c,22.165833300000003,90.3402774
158415,N1,180,LRP080,23.4770271,91.0794716
158417,N102,180,LRP064a,23.9033333,91.1266382
158421,N106,180,LRP052,22.6122222,92.1019722
158437,N2,180,LRP069,24.0575556,90.9587778
158449,N3,180,LRP076c,24.4498052,90.3827216
158453,N4,180,LRP072a,24.3392497,89.92441600000001
158462,N5,180,LRP060a,23.854083300000003,89.92647159999999
158471,N509,180,LRP093,26.3455552,89.0218049
158483,N6,180,LRP096,24.3872774,89.0371663
158488,N7,180,LRP071,23.517916,89.467916
158503,N8,180,LRP072c,23.3545833,89.9998052
158508,N805,180,LRP060,23.0593611,89.7689993
158518,R140,180,LRP077b,23.1538611,90.72397159999998
158528,R160,180,LRP072,23.0444163,91.8750549
158529,R161,180,LRP062b,22.2086667,92.2120556
158533,R170,180,LRP052c,21.9328049,91.9604167
158539,R203,180,LRP063,23.868471600000003,91.0222493
158551,R250,180,LRP079,24.878916,92.4621944
158554,R281,180,LRP063,24.7959719,92.1691938
158568,R360,180,LRP066,24.4218049,90.7474441
158570,R370,180,LRP075,24.900527800000003,91.0105556
158581,R545,180,LRP072,24.9289438,88.7491941
158583,R547,180,LRP081a,24.9173882,88.4750827
158593,R585,180,LRP078,25.5126111,88.8621944
158610,R745,180,LRP079a,23.6569167,88.83358299999999
158632,R860,180,LRP048b,23.1966941,90.5219438
158634,R870,180,LRP061a,22.5482219,89.98091600000001
158637,R890,180,LRP099a,22.0300827,90.6449719
158804,Z1811,180,LRP118f,21.6217216,92.30875
158860,Z2834,180,LRP154,25.242138600000004,90.0146111
158946,Z5002,180,LRP075,25.857083300000003,88.6163056
159200,Z7710,180,LRP031d,22.7669716,89.99766629999999
159219,Z8033,180,LRP050a,22.5834163,90.093083
159280,Z8708,180,LRP050d,22.2271382,90.01611109999999
159289,Z8806,180,LRP078,22.1650278,90.336083
159300,N1,181,LRP081,23.4781938,91.0889997
159302,N102,181,LRP064b,23.9056389,91.1258327
